,English,Target Kinnauri,Generated Kinnauri
476,Where are you now?,किन नाशिह तुहं देखमेह नुदिह?,ऐह तुहं किन सेह?
477,Some elders calmed the quarrel.,दौक स्यानै मानुषौवै कौज़िया शांत कियो,ऐक्या बुढोऐ होरिये झिगरा लाह शांत टानोस।
478,Man named him,मानुंष तिज रोह नाओ जागोस,नाओ लाह मांनुष
479,Forget your own mother,आफरोवे आमां बिसरी,आफरोह आमां लाह बिसरीदेह
480,"""Permandan, lower your face.",मुँह आयारोह जुराईदेह पंरमानंद जी,परमानंद! मुहं तोल्याओ।
481,How old is she?,किन साह सोह पुरानोह,सोह केतिग बोराश रोह साह?
482,The unfortunate Sumana is also tired of waiting.,बिचारी सुमना बिह पोखिह पोखिह देह शादुई थिह,कुब्जां सुमनै बिह पौखना शाँदुवौंदौस।
483,"And plunge into the depths, then beware.",डुगोह केह लोटिह लोटिह तेह फिरिह तुह सभलाई,आई डुगोह डुगोह पाक् का फिरिह सावधान
484,"On the days of mourning, relatives come to sit in the evening.",शोप केह ब्यालथान ओरु-पोरु काह पेरेह-ज़ोरेह होरिह बेशमेहं आछ़ते साह।,शोक रोह दयारो केह ब्याल बेशिह बेशमेह लाह आफरोह पेरेह आछ़तोस।
485,Rajan was terrified.,रंजन डौरान थेयो।,तेह राज़ा डोरिस।
486,Then he started to remember his brothers.,तेह तिन लाह आफरोह बाई होर रोह कोलाङ आछ़ेन थियोह।,तेह तिन लाह आफरोह बाई होर रोह कोलाङ आछ़ेन थियोह।
487,"At that time, all three Pandavas were returning clean from the toilet.",होत्रेह त्रोने पाँडोव गुछ़ारिह वापिस आछ़ेन थियेह।,होत्रेह त्रोने पाँडव बाऐल काह साफ-साफाई पोछ़ेन थियेह।
488,Somewhere this decades of work,किन होई दशको रोह मेनोत,किन होई दशक काह काम
489,The king was surprised and troubled.,राज़ा हैरान परेशान गुवोस,राज़ा हैरान गुवोस आ परेशान फिरोस।
490,Jonda was also very drunk.,जौंडा बिह वाल माचिह थियोह।,जौंडा बिह मुलुक नशा टानदो थियोह।
491,"The weather of Gilgit, Muzaffarabad and other places in PoK in India has also started to be reported on Doordarshan and video with its other cities.","भारत केह पीओके रोह गिलगिट, मुजफ्फराबाद सिह ओरिक्या ज़ागा होर केह बिह मोसोम रोह हाल बिह आफरोह आयेक शहर होर सिह दूरदर्शन आई वीडियो गाश बोल्नोह शुरु टानोस।","भारत केह पीओके केह गिलगित, मुजफ्फरबाद आई ओरिक्या ज़ागा होर रोह मौसम बिह दूरदर्शन गाश आई आफरोह ओरिक्या शहर होर सिह वीडियो होर केह शुनोह आछ़ेन थियोह।"
492,We start to abuse a short time instead of using it properly.,ताँबै दौक सौरी तेसा औबौल कामै कै आन्ना बौदला गौलौत कामै कै आनबै लागदै सी।,तामोरिह ठीक सेह काम खोटमे रोह आलावा गाटोह दयारोह रोह दुशमशीन टानेन सिह।
493,The dates are set.,तारिख गाश तारिख लागेन थियोह।,तारीख ताह तय फिरिह साह
494,"The lion said, ""You are a very clever, deceitful animal"".","ब्रागै बोलोस, “तू वाल च़ालाक धोखा दिंदौ ज़ानवौरस।""","ब्रागै बोलोस, तुह वाल च़ालाक, ठोगादेह सेमचेन सै।"""
495,I never take back the words that come out of my mouth.,"मेरोह खांक काह ज़िह बाते निकिलदोस, तिज़ लाह हांऊ काज़ुऐ बिह वापिस नामांगदो सुहं।",मेरोह खाक काह निकलिहदेह बातेह काज़ुऐ बिह मागेन नाटानदो सुहं।
496,"He cut the cloth, told the dresser sitting in the barrel, ""Sew it first"".","कापरा काटो, खातै कै बेठौंदौ दौरज़ी लै बोलो, “पैलै हेथलै सिंउवे।”","हौसौ मैला काटयाओ, घौराई गाश बेशिंदै ड्रेसरी लै बोलोस, पहिला हौयौ बेज़ौ।"""
497,many,मुलुक लाह,मुलुक
498,"Every day she goes on a journey, soldier's wife.","दयारो राह गुहार टानदे, फौजी रोह नार",दयारो दयार सोह सोह सोफोर केह नाशेन साह सिपाई रोह देन
499,Lower your blood pressure,आफरोह ब्लड प्रेशर काम टान,ब्लड प्रेशर कम टान
500,"The king was enchanted by her,",राज़ा तेस गाश मोहित फिरो,"राज़ा लै हौतेसाए ज़ौबौल लागो,"
501,"He went straight to the headmaster and told him that I was fine too, and that I would quit when I was sure because I didn't have a pension.",हौसौ सिदा हैडमास्टौर काछ़ै नाठो बोलोस कि हाऊँ बि ठीक-ठाक सु ज़ेतरा पाका आछ़सु तेतरा नुकरी शोठ्यासु कयूँकी मुला पैनशौन ता लागी नाईं,"सोह सीधा हैड मास्टौर काछ़ेह नाशिह देह बोलोस, हांऊ बिह ठीक सुहं, ज़ेत्रेह हांऊ पाक् का सुहं, तेह राज़िया फिरसुहं, किज़ु बोल्तांह मेरोह पेन्शन नांई।"
502,"Marriages, stories and stories were not without a moment of silence.","शादी,कोथ्या, जागरौन, मुनडौन जमुना रोह बिना निफिरदै थेह।","शादी, कोथा-कथा होरिह एकह मिगराल बिह च़ुटकाङ नाथाकिह देह।"
503,I try with 5 recipes.,हाँऊ पाँच व्यंजन होर सिह कोशपिश टानदोह सुह,हांऊ पांच़ नुस्खा होर सिह कोशिश टानदो सुहं।
504,And my home is on a small hill called Tal near the village of Darini.,आई दरीणी देश काछ़ेह तल (टह्ल) नांओ स्या लोडोह काँडोह गाश मेरोह थाकनो स्या ज़ागास।,आई मेरोह गोर दरीनी देश रोह नेराङ टोखाङ नांओ स्या लोडोह काँडोह गाश साह।
505,Is your home okay?,कियाह तेरोह घोरह ठिक साह?,कयौ तैरौ घौर ठीकस?
506,"Brother, you don't understand.","भाई, तुह ठीक नौसौमौज़दौ सै।",यांह बाई! तांऊ लाह तांह किछ़ेह पोताऐ नुदोह।
507,The cat is careless?,पिशिह लापरवाह साह?,पिशिह लापरवाह साह?
508,Panch Singh won in our ward.,आमोर रोह वार्ड केह पंच सिंघो ज़ितिदे।,आमोर रोह वार्ड केह पंच सिंह ज़ितुवोस।
509,Drunkenness leads to destruction,नशा मांनुश लाह बोरबाद टानिह बेज़दोस।,नशा तांह नाश टानदोस।
510,JS: Sure.,जेन: पक्‍का।,जेन: पाक्का।
511,"The villagers also saw her health and asked, ""Who is being treated?""",हौतयूँरिह सेहौत शाईंदै ग्राँवै वारै बिह पुछ़दै लागे-कासा ईलाज़ च़ौलानस?,"ग्राँवाए मानुषौवै बि तेसाई सेहौत शाईंदै पुछ़ो, कौनौ ईंयेत कै आछ़ानस?"
512,Want to chat?,चैट कौरना च़ाईंदैसौ?,चैट टानमे च़ाँई सेयाह?
513,"Somewhere, you have to spend the night.",किन नांह किन राट तांह बित्यानो स्या।,किन ताह राट ताह थाकनोह फिरेस
514,But this was a sleepless sleep.,तेबिह मांलाह होई निज़ रोह कोरच़ाते हांऊ ईन्छ़े सेग पोछ़िह।,तेबिह होई निज़ रोह निज़ थियोह।
515,Why did you forget the teachings of the Gita human,तुह किजु बिसरुई गीता रोह उपदेश मांनुष,गीता मानुष रोह सिखोह किजु बिसरुई
516,All the behaviours are easy to clean but this oily one is hard.,सेब ओखार साफ कौरना आसानस पर हौयौ तेल वारि लोठी मुश्कौलस।,सेबे बौरताव लै साफ़ कौरना आसानस पर हौयौ तेलौ वारा मुश्किलस।
517,So now someone would help him with this disease.,तै एबि हौयौ ब्याज़ कै हौतेसाई  मौदौत रिह ताईंयै कुन ता हुवै थेयो।,तेह एह कुन तेस रोह होई रोग रोह मोदोद टानदोह थियोह।
518,"No one can say that poets, poets, writers lie anymore.","ऐह कुने होयो बोलिह नोबोलेस किह शायर, कवि, लेखक आलकोल्या होरिह थाकदे साह।","ऐह काताई नाथाकदोस, किह कवि, लेखक आलकोह बोलदेह साह।"
519,A unique example of the sacrificial principles,सऐब बाते केह वाल ओबोल मांनुश।,छ़ेल्डु पेरेह रोह सिद्धान्त रोह एकह खास मिसाल
520,"Many people came to see the dead lion, and this time they were shocked to see the courage of the twelve year old boy.","मुलुक मानुष मौरैंदै ब्राग लै शाँबै आऐ, आ एबकी बेरै बारा बौर्शाए छ़ोटू रै हौसला लै देखिंदै बिशारुई थाके","मुईंदै ब्राग लै शाँबैलै मुलुक मानुष आछ़दै थेह, आ एबकि बेरै हौसौ बारा बौर्शा रोह छ़ोटु रि हिम्मौत देखिंदै बिशादी फिरे।"
521,To save scattered dreams,खराब फिरुन सियुने लाह सवारमे हुता,छरपेर सियुने होर लाह बोच़्यानो
522,The door closed and the motor started.,दोवार बोन्द फिरोस आई बोस च़ोलोस।,द्वारौ बौन्द फिरे आ मोटौर शुरू फिरो।
523,Do you know what morning I will become an 'Irfan'?,कयौ पौता कौदु दोथि हाऊँ कुन ‘इरफान‘ बौनसु।,कयौ पौता कुन दोथी हाऊँ एक 'इरफान' बौनो?
524,She had to fight with her mother - in - law and her husband to get away.,कौदु हौसौ शाशु सिह तै कौदु मौर्द सिह झिगर्याईंबै लागि किह रोशुविंदै माईचै कै नाशसु।,सोह बोवारी सिह पुशां लाह बोच़मेहं रोह तांई लोसीनोह फिरिह थियोह।
525,Do they ever play like Justin?,कयौ तेनै कौदु जस्टिन रि गान खेलदै सा?,कियाह तेनोरिह काज़ु जस्टिन रोह गान खेलदे साह?
526,"When you wake up in the morning, you should look at the image of God and then go to the evil forms of others.","दोथिह ऊज़िदे सिह परमेश्वर लाह शांनोह च़ाँनोह, तेह पांह ओरिक्या रोह शोक्ला शांनोह च़ाँनोह।",दोथिह ऊज़िह देह परमेश्वर रोह मुखाङ शांओ आई ओरिक्या रोह मारेह रुह केह नाशनोह च़ाँनोह।
527,"Talent: Abandoned women, not lacking abused women","प्रतिभाः परित्यक्ता देनिह पेर, दुर्व्यवहार काह पीड़ित देनिह पेर रोह गोटिह नुदोह।",प्रतिभा: शोठयाईंदै द्यानि लै शोठयाईंदै द्यानि रि कमी नाईं
528,He was taken in by the ways.,तिज रोह बाखिह रोह भोग मागिह बेसिह,बातेह रोह बातेह तिन लाह बोलोस
529,The flower man was good.,फूल बिह मांनुष ताह ओबोल थियोह,फुल रोह मांनुष बोलोह थियोह।
530,sign of the breach,भाखडा निशानी,लीक रोह निशान
531,"The more I sew, the more it bursts.",जेतेग चेमादोह सुह होतेगे आई फुटेन आसतोह साह,"ज़ेती बोदिह सिलाई टानदो सुहं, तेतिग बिह फाटिह थाकदोस।"
532,Baba thirsty without walking,बाबा प्‍यासा बोलेन ठुरेह बगैर कोस बोराई देह,नाशनोह रोह बिना बाबा प्यास
533,She would close her mouth when Jamna said to eat and drink.,ज़ेतरा जमना बोलदी खौ पियू ता हौसौ शोंड लाँदी।,ज़ेतरा जमनाए बोलदौ ता खाऊ जुटौ ता हौसौ खाक बौन्द कौरदी थीह।
534,See your family too,आफरोह बिह पेरेह साओ,आफरोह पेरेह लाह बिह शाओ
535,This is very good.,युहं तांह वाल बोलोह बातेस।,होई मुलुक बोलोस।
536,I don 't know if he 's in this world either,ज़ानी हौसौ ईंयौ सानसार कै सा बि कि,ज़ानी हौसौ बि हौयौ दुनिया कै सा
537,"Yeah, I think I fell in love with the office boy.",आँ मुला लागदौस कि मुला दौफ्तौर रै छ़ोटु रि प्यार फिरौंदौस।,आंह मांलाह होयो ज़ानोह आछ़ेनस किह हांऊ आफिस रोह छ़ेल्डु सिह बेदान टानदो सुहं।
538,"She said, ""My son, we must go to the bathroom as it is now, for the wife is old.","बोलिस, “बाऊ ऐबै ता ज़ैनी बि हुवाई आमोरियै शादी कौरी बेज़नाईस भक्तु रि उमौर बि आऔरबै लागिंदिस","बोलोस, बाऊ ज़ेओ एबि फिरोस, होसोवे तांह आमोर लाह बाऐ नाशनो ज़ुरुर साह, किज़ु बोल्तांह देन मांनुश बुढी फिरिस।"
539,That's your well-being.,हेतकैए तुमोर रौह भौलौ फिरेस,होई ताऊरोह सुख रोह
540,Let me see your face,मुँह लाह निहाराम ताह देह,तेरोह मुहं लाह शांओ
541,The distance increases,दुर फिरेन एह नासेन साह,दुर बिह बोडियेन साह
542,You also identify yourself.,रोईनोह बिह आफुऐ टानदोस।,तुह बिह आफलाह पहचान टानदोह सेह
543,You can filter it.,फिल्टर बेज़िह देह शांई सोकदे।,फिल्टर टानिह बोलेस।
544,"In the evening, people began to enjoy the Dham.",ब्याल तांह मांनुशा धाम खांनोह केह मोस्त थियेह।,ब्यालथान फिरिह देह मांनुशा धाम रोह मोजाह टानेन थियेह।
545,"Earlier, Khurdhi 's wife had gone home alone and killed him.",पोएले बिह तांह खुर्दी रोह देन लाह ऐखले केह लोसिह।,पोएले तांह खुर्दी रोह देन ऐखले तिन लाह लोसीदे आई गोरे नाठी थिह।
546,Indhu had no memory of this or that.,सिन्धु लै ना हौयौ ना सेब याद थीह,सिन्धु लै हौयौ या हौसौ बातै रि किछ़ याद नाईं थीह।
547,I locked the market and went to the hotel.,हाऊँ शानौ लाईंदै बाज़ार छ़ुलि-छ़ालि होटौल,हाऊँ बाज़ार लै तालाब लाईंदै होटौल कै नाठो।
548,"Friends, I want to pass you by.",मेरोह कोन्या होरिह तुमोर काह गुज़ारिश टानेन सुहं।,यांह कोन्या होरिह हांऊ तेरोह सोमने पास टानमे च़ाँई सुहं।
549,"The Bible says: ""Let your heart be filled with love"".",बेदान रोह बंसी बाजाई जागोह,बेदान टान
550,"She makes wool, she makes straw,",ऊन कातती पटट जुरादी साह सोह,"ऊन जुरादी साह, तिनिये पिलो जुरादी साह"
551,"You'll soon find a job. Besides, the job market is very good right now, and all the companies need","ताउला हासाले ऩुकरी पोरेस होजका आईक ऩुकरी बजारे इमरी मुलुक ओबोल साह, आई सेएब कमपनी होरला जुरुरोत साह।","तुहं हासाले नुकरी पोरसेह, तिज़ काह आलावा नुकरी रोह बाज़ार तांह मुलुक बोलोस, आई सऐब कंपनी होर लाह ज़ुरुरोत साह।"
552,"But today, like birds, girls are not seen in the house.",तेह आज़ च़ोरखी होर रोह गान छ़ेल्डी पेरे बिह गोरे-गोरे देखनो नाछ़ेनस।,पर आज़ ज़ैऔ च़ौरखी होरि गान घौरै छ़ोटी निदेखदै सा
553,"At this time, the goats have to graze the animals.",होई बेलाह केह ताह जौंडा बेरेह चारमे साह,हौयौ वौक्त बाकरी लै सेमच़ेना च़ौरना खोमाएस।
554,Do you have any plans for today?,कयौ ताऊँकै आज़ रिह ताईंयै किछ़ योजना सा ?,कियाह ताऊकाछेह आज़ रोह तांई किह योजना हुदोवा?
555,"Yes, yes, I did.",आँ-आँ।,"आँ, आँ, मैईंयै कियो।"
556,Our ancestors in Amber,सोरोग केह तामोर रोह आगलो,आमोर रोह आगुविह सोरोग केह
557,"Hey, hey!",नमस्‍ते।,अरे!
558,"Wow, this loss is so beautiful.",‘वाह! होई हार तांह बानबात शांरे ज़ुर्राईस।,वाह होई हार वाल शारेह साह
559,he too,हौसौ बिह,सोह बिह
560,"I gave her water, put a jar of milk in her mouth and promised her that I would give your message to the world.","मेईंयेह तेस लाह पानिह पियाई, खीर केह रुज़ाई रोटिह देई देह आई तेस सिह रेन बेज़िह किह तेरोह प्राल दुनिया लाह ज़ुरुर दिसुहं कोन।","मैईंयै तियूँलै पानियू दिंदौ, खौर रिह घौरि तियूँरौ खाक कै बेज़िंदै तियूँलै वादा कियो किह तैरि बातै लै दुनिया लै सुनासु।"
561,Hunting is one of my favorite hobbies.,आऐरे टानोह मांलाह पोसोन्द युहं मेरोह शोंकस।,शिकार मेरोह पसंद रोह शौक होर काह एक साह।
562,"The mountains are cut down, the forests are cut down, and the mountains are made rough.",जांगल केह बोटा लाह काटिह देह कांडोह कोटा होरिह देखनोह आछ़तोस।,काँडोह होर लाह काटाई देह जांगाल होरिह काटाई देह काँडोह होरिह कांडोह फिरिह देह
563,End the market,बाजार लाह खोतोम टानोह,बाज़ार रोह अंत टान।
564,"He would have been welcomed with a band of bands, having put money in his pocket, as if he had come home from a big fight.",खीसै का रुपया बेज़ींदै बैंड बाज़ा सि साथ आपनौ स्वागौत कौराँदै ज़ैऔ कुन बौडि लडाई लौडिंदै घौरै आऔंदौ थाकदौ।,"हौतयूँलै ज़ैऔ बौडी मार-मारी कौरी घौरै पोछ़ैंदै थेयो, खिसै कै रुपया छ़ारैंदै बैंड-बैंड कौरी स्वागौत कौरदै थेह।"
565,Its breath never let the hook of the deer go out.,"हेसाई शाशु, कौदु बोरेच़ा हुक्का निथि हीशबै दिंदि।",तिन रोह सांस कादुए हिरौन रोह च़िलिम बाऐ नाठनोह बेज़दोस।
566,I had a lot of fun.,मस्‍ती मुलुक टानिह,मुलुक मोज़ा लागी।
567,Bhaktu returned to primary school.,भक्तू फिरी प्राईमौरी सुकूल कै आओस,भक्तु प्राईमरी सुकूल कै वापौस आओ।
568,Sumana could not stop laughing.,सुमनाए बोडोह मुशकिले हासनो रोकाई,सुमना हांसनोह नोशोठाई बोलेस।
569,Or why do people lie if the answer is yes?,"याह तेह मांनुशा आलकोह बोल्देस, ऐकुम बेरेज़ोबाब आंह हुतांह, तेह होयो किज़ु?",याह किजु आलकोह बोलदेह साह हाँऊ बोलेन
570,"His teeth began to cut, and people gathered, no one knew what had happened.","हौतयूँरै दाँत कौटकौटाँबै लागे, मानुष कौठा फिरे, कासी लैए पौता नाईं च़ौलो किह कयौ फिरो।","हौतयूँरै दाँत काटबै लागे, मानुषौवै कौठा फिरो, कुनियै पौता नाईं लागो कि कयौ फिरो।"
571,I love fresh vegetables!,मुला ताज़ा बाज़ी वाल पसंदसा।,मालाह ताजा बाज़ी होर सिह बेदान साह।
572,"Yes, life decisions should be made on the advice of parents, relatives and elders.","आँ, यो-बा, खानदान आ बौडै स्यानाई रायाए कौरिये ज़िंदगी रै फैसला हुनै च़ानौ।","आंह ज़िन्दगी रोह फेसला मां-बाप, रिश्तेदार होर रोह सलाख गाश टानोह च़ाँनोह।"
573,"Hey, never knew he might be famous too!","ऐह, कादुए नाजानिह किह होई बिह मुशुर फिरेस।","अरे, कौदुवे ज़ानना नाईं कि हौसौ बिह मुशूर फिरि सौकदौस!"
574,You call a million.,तुह जेतेग बिह टोखाओ,तुह लाख लाह आर्रादोह सेह
575,They will come every day to get drunk at night .,सोदाह आछेस राट माचिह देह टुन्‍न,दयारो राट शराबी फिरमे लाह आछदेह साह
576,I'm the friend of Loveline.,हाऊँ लवलीन रि सौंगी।,हांऊ लवलीन रोह कोन्या सुहं।
577,This hotel is right across the street from City Centre Mall Mangalore.,होई होटोल सिटी सैंटर मॉल मैंगलोर रोह सोमने साह।,होई होटोल सिटी सैंटर मॉल मैंगलोर रोह सोरोग गाश साह।
578,What have We earned of thee?,आपना जुराईदेह ताऊलाह मेईये किह कमायाई साह,आमोरिये तेरोह किह किह काम्याई साह
579,It's past midnight.,आधी राची बीतिंदिस।,आधी राट फिरिह साह।
580,"However, how often does Nicko argue with his wife about the same subject, ""Be a big donor!""","हालांकि केती बेरै हौयौए बातै गाश निक्कू रि आपनी द्यानी सि बि दौछ़याईना फिरदौस, ""बौडौ दानी बौनी छ़ुलानस!""","हालाँकि निक्कू केतरा बेरै आपनि द्यानी सि हौसौए बातै गाश बाज़ानस, बौडौ दान कौर!"""
581,Laura: I take a multi-vitamin tablet and an extra vitamin C every day.,लौरा: हाऊँ रोज़ एक मल्टी-विटामिन रिह गोली आ आएक विटामिन सी खान सु।,लौरा: हाऊँ रोज़ एक मल्टी-विटामिन गोली आ एक आडया विटामिन सी खाँदौसु।
582,The heart disease is called by the Divine.,मोन रोह रोग दिवाने आराई साह,मोन रोह रोग लाह दिव्य बोल्दे साह
583,And eat and drink and die.,आई खाई पिह देह मोरिह साह,आई खांऊ पिऊ मांऊ।
584,"Angry, ever since she took her seat here, the new day has been beginning to ring new bells.",दुखी ज़ौदु का तियूँवै ईंदै कुर्सी साँभाल्याई तौदु का लागातार नौउवै बाज़ा बाज़बै लाग़े,रोशै कै हौसौ ज़ेतरा काए ईंयेत सीट कै बेशिंदिस ता हौयौ नौउवौ दियूस नौउवौ घंटी बाज़ानस।
585,It was her job to lift Nana 's urine and wheezing.,आपी रौ मूच आ गू च़ुँगना तेना काम थेयो।,आपी रौ मूत्र उछाँबै आ ज़ैऔ ज़ैऔ ज़ैऔ कौरना तेसा काम थेयो।
586,I'm tired too.,हाऊँ बि शाँदुवौंदौ सु।,हाऊँ बिह शाँदुवौंदौसु।
587,You should go jogging with them.,तांऊ लाह तेनोर सिह एकेह जोगिन टानमे नाशनोह च़ाँनोह।,ताऊँलै हेनाई साथ जॉगिंग कौरबैलै नाशना च़ानौ।
588,This is the unique tooth of Jyoti Mamta of God.,प्‍यासो बेदान रोह होई आनुपम दात साह भोगान रोह,होई देवी रोह ज्योति ममता रोह खास दाँत साह।
589,Any other tree that likes shisham etc. take it.,ओरिक किह बिह बोट शीशाम यांह ओरिक्या पोसोन्द आछ़तांह हांऊ दिसुहं।,"ओरिक कुन बिह बोट शीशाम होरिह पसंद साह, होसोए खाओ।"
590,equals our king's,आमोर रोह राजू सिह जिद टानदोस,बराबोर साह आमोर रोह राज़ा रोह
591,Let 's take a cab .,टैक्सीयै नाशुँगै,हांडोह एकह ट्याक्सी।
592,"I stopped teaching and started to speak in loud, harsh words, from today on I will not teach sitting at the front desk.","शिख्यानो बोन्द टानोस। आई मुलुक ङारे बोलोस, आज़ काह पिछ़ुह हांऊ पिछ़ाऐ स्या डेस्क गाश बेशिह देह निशिखिया सुहं।","मैईंयै पौढ़ाई छ़ेकींदै ज़ोरियै काटिंदै काटिंदै बोलना शुरू कियो, आज़ का पिछ़ाएँ डेस्क कै बेशिंदै पौढ़ाई नाईं कौरसु।"
593,The poem should not be too long or boring.,कविता बोदिह बोडोह यांह कान्ठिनोह बेज़दोह स्या नुहुवोह च़ाँई।,कविता मुलुक लामी नाई हुनोह च़ाँनोह।
594,The British were also urbanised.,अंग्रेज़ौ रोह राज़ थेयो हौसौ बिह शाहरांतिक(?),अंग्रेज़ाऐ बिह शहर बौन्याओस।
595,The name of the BSC of the Method Sonu Chunky was so sold that the whole family was revived.,विधि सोनू छुणकी बी एस सी नाओ हेती बीको किह सेब पेरा कायाकल्प फिरो।,"विधि सोनू छुणकी रोह बीएससी रोह नांओ होतिग बिकिन थियोह, ज़िज़िये सऐबे पेरेह लाह बोच़्याओस।"
596,What are you sad about?,तुह कयौ बातै रिह ताईंयै दुखी सै?,तुह किह दुखी सेह?
597,The knife that tricks nature into a trick,रुलाई देह कुदरत लाह छुरा चुङमादोह,प्रकृति लाह ठोगादेह छुरी
598,Then you will not be happy.,तेतरा तुह खुश थाकि नोबोलै।,तेह तुहं खुसिये नाथाकेस।
599,"The blinking of an eyelid would have gone away, but it would have blown.",आखी रि पलकों रौ कान्याना ता ठुरदी पर फुलुङच़ी निकिलदी थीह,"एकह आखीह रोह च्पकनोह बिह दूर फिरेस, तेबिह सोह फुकरिह थियोह।"
600,So we can talk about your duties.,तेरोह डेस्‍क गास वापस नास ताकी आमोरिह तेरोह काम रोह बारेह कैह बाताईसिह।,तेह तामोरिह तेरोह काम होर रोह बारेह कैह बाताई बोलसिह।
601,"If I had to, I would.",एकुम बेरे मेरोह खोटनो स्या हुतांह खोटसुहं।,कियै मुला कौरना खोमाए ता हाऊँ कौरसु।
602,The bazaar began to be danced and the supporters of Seenhu began to dance.,"बाज़ा बाज़्याऐन थियोह, आई सीहनू रोह मांनुशा होरिह खुसिये नाच़ेन थियेह।",बाज़ार रोह नाच़नोह आ सीहनू रोह मांनुशा होरिह नाच़ेन थियेह।
603,Crime is growing exactly the same way here.,ईन्छ़े बिह होतिन्छ़े रोह गाने क्राईम फिरेनस।,ईनचे होयोए अपराध बोडियेन साह।
604,People here are very rude.,ईनचे मांनुषा सादाङ सादाङ,ईनचे मानुष वाल बेईज़बौत सा।
605,The shop started to run.,दुकान च़ौलबै लागी।,दुकान च़ौलदी लागी।
606,and abstains from meaningless acts.,आई बिना मोतलोब रोह कामा काह दुर थाकदोस।,अर्थहीन काम होर काह बोच़तोस।
607,"The lion, looking down from the mountain at all the movements of the Siar, told the tale: 'The speed of fools and arrogant people is the same.'",डोंक गास काह सियार रोह सेएब काम होर लाह साएन पोह ब्राघे होयोह बोलोस-जुन मुरुख आई शेखीस्‍या साह तेनोर सिह होयोए फिरदोह सह,"सीर रोह सऐब च़ोलेन लाह काँडोह काह तोल शांई देह ब्रागै कोथ्या बोलोस, मुरुख सिह घोरबोन रोह हासले थाकदोस।"
608,"His son answered, ""Dad, I'm just saying","आफरोह बुआ रोह बाते शुनिह ऐह तिनिये बोलोस, बुआ तेह तांह बोलेन सुहं।","तिन रोह छ़ेल्डुऐ ज़ोवाब देनोस, बुआ! हांऊ ऐखोह बोलान सुहं"
609,It is a 17 year old registered literary institution.,युहं सत्रार बोराश पुरानो रजिस्टर्ड साहित्यिक संस्था साह।,होई एकह 17 बोराश रोह ऊम्बुर रोह रजिस्टर्ड साहित्यिक संस्था साह।
610,I helped him and I gave him money.,मैईंयै हौतयूँरि मौदौत की आ ता आ मैईंयै हौतयूँलै रुपया बिह दिने,मेईंयेह तेस रोह मोदोद टानिह आई रुप्या देई देह।
611,He was a drunk who didn 't think about yesterday .,सोह मस्‍त थियोह जुनिये कालेह लाह नुसुनची,हौसौ नशा कौरदौ थेयो ज़ौ हिज़ रोह बारे कै किछ़ सुनच़ियान नाई
612,"34 years ago I lived in this same hotel in Mangalore, Karnataka.",34 साल पोएले हांऊ कर्नाटक मैंगलोर केह होईये होटोल वसंत महल केह थाकदो थियोह।,34 बोराश पोएले कर्नाटक मैंगलोर केह होईये होटोल केह थाकदो थियोह।
613,I 'm getting my law degree .,हांऊ कानून केह मेरोह डिग्री मांगेन सुहं।,हांऊ कानून केह आफरोह डिग्री मांगेन सुहं।
614,Now they will have to eat only green grass.,ऐह तेनोर लाह हारोह खोर खांमेह लाह पोरेस।,ऐह तेनोर लाह ऐखोह हारोह खोर खांमेह फिरेस।
615,"I bet, I nurse people.","हाऊ शर्त बेजदोह सुह,हाऊ मानुषा लाह नर्स टानदोह सुह।","हाऊँ शर्त बेज़दौ सु, हाऊँ मानुषौ रिह सेवा कौरदौसु।"
616,Then he tied the covering of the dead man with a thread.,ऐबै तियूँवै मर्तबान रौ डाखान लै धागै कौरी बानोस,तेह तिनिये मुत्यु रोह च़िलिम लाह धागू बेज़िह बानोस।
617,We cheated again and again.,सोठाई देह तामोरिह शुपटी शुपटी,आमोरिये बार-बार ठोगाई
618,I took it,मागिह देह हाँडोह हाँऊ,मेईयेह तोल्याई
619,"Hello, it's night here but why is it?","हैलो, होई राट ईनचे साह तेबिह होयोह किजुह साह","नमस्ते, ईंयेत राट साह पर कयूँस?"
620,'Sagar' love someone or not to die,सागर कास सिह बेदान टानेस किह नाटान तेह दियोह जान,कास काह बेदान टान तांह 'सगर' मोरनोह नाछ़तोस।
621,Today is the birthday of Himachal.,आज हिमाचल रोह जन्‍मदिन साह सेलोह बागुर छारोओ मिठोह तान,आज़ हिमाचल रोह जन् मदिन साह।
622,"If you are not fasting, do not eat rice, onions, garlic, meat, wine, spices, etc. on this day.","कियै व्रौत नाछ़ारान हुँदेन हौय दियूँ च़ाऔल,प्याज़ ,लौसुन,मासाऊँ,सूर,गाँदलिवौंदौ खाउ होरि बिल्कुल नाखानौ।","ऐकुम बेरे तुहं व्रौत नाटानतांह, तेह होई दयार च़ाऔल, प्याज़, लहसुन, मांसाऊ, रांक, मसाला होरिह नोखांओ।"
623,Because we're growing,किजु बोलताह हमाम बोढीयेन साह,किजुबोलता आमोरिह बोडियेन सिह
624,Then he told the place of his appearance.,तेह तेसे आफरोह प्रोप्ते फिरनोह रोह ज़ागा बोलोस,तेह तिनिये आफरोह रुह देखनोह रोह ज़ागा बोलोस।
625,four days of life,जिदंगी रोह एखोह चार दयार,जिदंगी रोह च़ार दयारो
