,English,Target Kangri,Generated Kangri
394,There is no honor in leaving your place.,अपणी जगह छड्डी के इज़्ज़त नी हुंदी,अपणी जगह छड्डणा कोई मान नी
395,He was a man of great love.,हूण छड्ड परे तू आपणा पोपण।,सैह् अपणिया बड्डे़ प्यारे दा माह्णु था।
396,139. Some things don 't happen in a bus.,उसजो मेनत करना पोणी।,138.मैं एक कार में काम करता हूं।
397,No more than that.,तुसां जो तां अपणी बदली सुझा दी,इसते ज्यादा नी
398,I will work hard but I will not steal,इज्जत री रोटी खाणी,मैं मेहनत करगा पर चोरी नी करगा
399,"Laura: No, Doctor, I was just trying to get a job.",लोरा :नई डाक्टर।.,लोरा : नी डाक्टर मैं बस नौकरी लेने दी कोशिश करा दा था।
400,53. How did you know he was Kung Fu Panda?,52.आप बहुत स्मार्ट हैं।,52.मैं एक नर्स हूं।
401,Now who will decide between one defeat and another defeat?,पर दौएं खसम जणास खाएणें रे बड़े लोभी कनैं दौएं पेट-लोदरी थे,हुण इक्क हार दूए हार दा फैसला कुण करी लैंगा
402,There is still a chance to think and understand so that our lives can have some meaning.,"पर आस्से चैना कन्ने सोच्या हे क़धी, ताहें ता येस्स जीणे रा आस्से सही अथ नी बुझिरा",अपणे जीवन जो कुछ अर्थ देई सकने ताईं सोचने कने समझने दा मौका बी रैहन्दा है।
403,"His cab didn 't go on the flat road, they didn 't go on the climb.",तिसरी टैकसी पधरिया सड़का पर नीं-तिन्हा नालुओं कुआलाँ परै जाणा लगी,तिन्हां दी टैक्सी समतल सड़का पर नी जांदी थी न ही तिन्हां चढ़ाई पर जांदे थे
404,The work of the crop on time,जुण जाणला सौंऊती वौक्त मोला।,फसलां दा कम्म टैमे पर
405,I know how much I have endured so far.,एह नाक् बर्जुगां री-नुमायसी जो रखणी,मैं जाणदा हां कि मैं अजे तक किच्छ सहया है।
406,"Mother, promise me that we will feed the beloved of Lord J. every day.",मैं अपणी कताबा च पढे़या पैंछी ई फलां च मठास भरदे।,माँ! वादा कर कि असां भगवान जय दे प्यारे जो रोज खुआंगा।
407,"419. no hobby? Yeah, like electronic electronic dance music, just found out it exists,",418.लेकिन मैं अभी भी हर हफ्ते तीन किताबें पढ़ता हूं।,"418.मैं एक नर्तकी हूं, लेकिन मैं एक नर्तकी हूं।"
408,"However, everyone in the village knew that there was no place to find a man who could work on bread like Joande.",अप्पू ही डंगरे चारना पौन्दे,पर जोन्ढे दे ग्रांए च कोई आदमी नी था
409,I have apologized to Joande for his mistake that day 1800 times.,तुसां भी न दादुआ पराणियां गल्लां लई बैन्धे,मैं अपणी गल्ती जो रोज ही समझी जांदा
410,158. We lost our way.,सफर करदे बेले समान घट लेई जाना चाईंदा।,तुसां जो क्या करना चाअंदा।
411,"And he was driving, looking to the right and to the left.",कनें खुदा बखश खड्डी चला करदा हा ““बीह ताहं-तीह्‌ ताहं'',"सैह् कुसी जो नैं गलाणा लग्गा, अज तुसां कुथू जांदे?"
412,silence,ख़मोस,न्हस्सेया न्हस्सेया
413,No food,दिमाक चकरोई जान्दा,कोई खाणा नी
414,There are three or four other reasons.,होर-वी त्रै-चौर वजहां हन,इसदा तिस ते चार कारण हन
415,"The distinguished persons who attended the event were honoured with hill caps, mufflers, shawls.","आए आये होए बसिष्ट लोकां दा सम्मान पहाड़ी टोपी,मफलर ,साल कने कित्ता गेया ।उद्योग मंत्री बिक्रम सिंह ने इस कार्यक्रमें दी  अपार सफलता पर ख़ुसी ज़ाहर कित्ती।","कार्यक्रमें च उपस्थित गणित व्यक्तियां जो हिल टोपी, मफलर, शाल देई के सम्मान कित्तेया गया।"
416,"7 Perhaps we are friends, we have the same circumstances. No, you don't like spears, and they touch me.","7 शायद असां दोस्त होई सकदे, असां वल्ल नॉर्मल हालात हैंन । नहीं तुसां जो भोळे भाळे पसन्द नी हैंन कने सैह तुसां जो छून्दी है।","शायद असां दोस्त हन, असां दे हालात इक्की हन। नहीं, तुहां जो भाल पसंद नी हन, कने सेह मिजो छून्दे हन।"
417,I only beg you not to take this pledge today or we will take this Rs.,"जिसा औरता यो ठुड, गाली-मुआली, लत्ते-दुलत्त मिलदे, सैह कदी अच्छी संतान नी देई सकदी",बस एह गुआह करदी जे अज्ज एह वादा नी करगे तां असां एह रपईय्या जो लेई के चलगे
418,"He said to me, ""Take the finger of Mother Earth and come to me and take my finger at the school built above me"".",तिन्नी मिंजो गलाया धरती माऊ दी  ऊंगली पकडी़ मिंजो  तिकर पुज्जा भिरी मेरे ऊपर बणेयो स्कूला मेरी ऊंगली पकडी़ नैं चल्ला।,"तिन्नी मिंजो गलाया, माता धरती दी उंगली लेई के मेरे पास आई जा कने मेरे उप्पर बणी गेए स्कूले पर मेरी उंगली लेई के लेई जा।"
419,"Rebel, not my father, Mr. Shri, my inspiration, my friends are everything to me.","त्रिमासिक पत्रिका दा सम्पादन  वीर प्रताप,जनसत्ता ,दैनिक ट्रिव्यून तथा,दिव्य हिमाचल च बतौर संवादाता कार्य I","विद्रोही, मेरे पिता नी श्री साहब, मेरी प्रेरणा, मेरे दोस्त मेरे वास्ते सब कुछ हैं।"
420,Thank you for chatting with me!,उच्चिया रिढ़िया पर बस्या था,मेरे कने चैटिंग करने ताईं धन्यवाद।
421,Cannabis opium was consumed by the taste of the wine.,ता पिच्छे ते भौंपें घर फकोई जाऐ तिसर्द ढोलैं ढूँईं नी हुन्दी थी,गांजां दा अफीयू शराब दे सुआए ने ही खाई जांदा था
422,All this,पिंजरे दा पंछी दिक्खा दा,एह सब किछ
423,"8 It's true what you like to eat. I love pizza hamburger fries so much, but what about you, who's so unhealthy?",8 एह सच है कि तुसां क्या खाणा पसन्द करदे ।मिंजो पिज़्ज़ा हैम्बर्गर फ्राइज़  इतना गू पसन्द है  पर बड़ा ही अस्वास्थ्यकर ( सेहता ताईं खराब) तुसां दे बारे विच क्या,"एह सच है तुसां क्या खाना पसंद करदे। मिंजो पिज्जा हैम्बर्गर फ्राईज़ बड़ा पसंद ए पर तुसां दे बारे च क्या ए, इतना अस्वास्थ कुण ए?"
424,I got my brother dirt,दिल वी न लगणा।।,मिंजो अपणे भाऊए जो गंदगी मिली गई
425,"Border: If we don 't see our face, who will line us?",सीमा:-साड़ा चेहरा ही नी सुज्झणा तां सांजो लैन कुन्नी मारणी?,सीमा:-असां अपना मुंह नी दिखणा तां साड़े लाईने कुण करी लैणा
426,Some people are terrified of lockdown and are ready to take on a disaster like Corona every day.,किछ लोक तां  लाॅक डाउन  ते डरी  हर रोज कोरोना जेई  मुसिबतांच फसणेच तैयार  बैठयो ।,कुछ लोक लॉक डाउन ते डरदे हन कने करोने साही आपदां जो हर रोज़ मुकाने तायें त्यार हन।
427,Our ancestors have been martyred and gained this freedom.,आस्सा री आपु च नी हीं कोय लड़ाई,साड़े पुत्तर सहीद होई गये कने इसा आजादी जो मिली गई
428,work is not earned,धरत वी सुक्की गइयो,कम्म नी कमांदा
429,Why make your laugh,बंदर जो देइ नेक सलाहीं,अपणा कजो हस्सां देणा
430,"Do not believe the lie of your own heart. They are truthful, disbelievers.",ग़ज़ल,अपणे दिले दे झोंपड़े जो मत मान सैह सच बोलदे कफ्फर हन
431,570. You definitely need something.,"569.मेरी माँ, मर गई जब मैं छोटा था। नहीं, मैं इतना नहीं पढ़ता हूं।","589.मैं एक नर्स हूँ, लेकिन मैं एक नर्स हूँ।"
432,The burning of the flames,अपणा सब कुछ गवाई दिंदे,जली जांदे जली जांदे
433,My mother also got old. She had to work hard to pay for the house.,{739}  मा बी बुड्डी होई गेई। घरे दे खर्चे चलाणे तांईं मिह्ण्त-मजूरी करणा लगि पिया।,मेरी माऊ बी बुड्ढी होई गई। घर दे पैसे लैने वास्ते तिसा जो बड़ी मेहनत करनी पई।
434,It sounded strong.,पाणी खूहए तों भरना पौन्दा था,जोरदार लगदा था।
435,How long had both boys been gone from there?,घरै वी किछ नी गलांणां ऐं,ओत्थू ते दुन्नो मुंडुएं कितणा देरा ते चली गए थे?
436,I am an expert in Italian cuisine.,एह अज्ज राती ताई पिज्जा ऐ। मिंजों सोंगी कोई बी इटालियन खाना नी खाणे चाहदे। ना,मैं इटालियन खाना च इक विशेषज्ञ ए।
437,"Today, the world is full of differences.",अज्जकल संसारे च अफ़रा तफरी मच्चियो,अज्ज दुनियां मतभेदों ने भरी है
438,"His mother, the queen, had treated him well and never showed him to doctors or disciples, but the pain in his ear did not go away.",तिसदियां निकक्‍के होन्दे दियां कननां च कपालण ही |,तिसदी माता राणी तिसदा खरा इलाज कराई थी कदी बी डाक्टर या चेले जो न दस्सी पर तिसदे कन्ने दर्द नी मिल्लेया
439,"Every time Paruru went to someone 's house in the village, he used to sit near the stove and set fire to the fire with wood.",इंह्यां तां माऊ तिद्दा नां प्यारु हा रक्खेया,परूआरे ग्रांए च जाल्हू कुसी दे कर जांदे तां भट्ठी दे बक्खे बैठी करी लकड़ुए ने अग्गी जो लगान्दे थे
440,"Marriages, stories and stories, and Jagaran - Mundhan were not without Jamuna.","ब्याह-शादी, कथा-कीर्तण, जग-जमालू जमना बाझी नी हुन्दे थे",जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै जमुना दे कन्नै
441,758. It may take some time.,"757.यह मेरे साथ ठीक है, एक अच्छी रात है।",757.मैं एक नर्स हूँ।
442,"If you stay at home, you won 't have any quarrels with anyone"".",घरै रैंहगा तां कुसी ने लड़ाई-झगड़ा भी नी हुंगा,घरै रैहणा तां कुसी ने कोई झगड़ा नी हुंगा
443,Master opened the post office and distributed it as usual and dismissed it at 2:30 instead of 4:00.,मास्टर होगं रोजे साही डाक खोहली की बण्डी कनै चार बजे दी बजाए ढाई बजे छुट्टी करी दित्ती,मास्टर होरां डाकघर खोलया कनै जियां कदी बण्डोया कनै चार बजे दे बजाए ढाई बजे खिसकाया
444,Dharamshala will be open from tomorrow,कल्ले ते धर्मस्थल खुडी जाणे,धर्मशाला कल्ले ते खुल्ली जाणी
445,784. I love to draw too.,783.मैं रंग हरा प्यार करता हूँ।,783.मैं एक नर्स हूँ।
446,"Alexander said, ""Yes, I love to fight and win because I have dreamed of world conquest and I am happy to do so.",सिकंदर ने गलाया हां। मिंजो लड़ाई करना कने जितना पसंद ए। किंजा मैं संसार जितने दा सुपना दिक्खया ए ।कने देया करने च मिंजो खुसी मिलदी ए ।,सिकंदर बोल्या हां मिंजो लड़ाई करना कने जीतना पसंद है कैंह जे मैं दुनियां जो जीतने दा सुपना सुपनाया है कने मैं ऐसा करने च खुश हैं।
447,and rest.,रवि: सूरज कुंड दे बारे च किंजा?,कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी
448,That crossing the gorge is not an easy task.,जेहड़े तां दित-रात कदम-कदमे पर ग्लांदे,कि घाटी पार करना कोई आसान कम नी
449,I must have been tired all day.,चल फिरी सई जा तू,मैं पूरा दिन थकेया रैहणा
450,dial 108 on it and the ambulance comes automatically.,कोई गल्ल नी । तिस पखलें माहणुयें बुढड़े सौहरे जो जवाब दित्ता । क्या तुसां वल मोबाईल फोन नी ऐ ?,इस पर डायल 108 करी के एंबुलेंस अप्पू औंदी है।
451,"Not the chick, your tongue is spitting.","तिसदी एह गल्ल सुणी के बुड़ढी खौरी होई के बोली, ''तूं चला जा, पिट्ठ दस्स",कुक्कड़ नी तेरी जीभ थप्पी जांदी
452,20. Do you like them?,19.कैसे वीडियो गेम के बारे में?,20.मैं एक नर्स हूँ।
453,One day he had the idea of going around the country.,उसदा इक बड्डा राज्य था।,इक दिन तिसदे मने च देश घुमाणे दा विचार आया
454,A flower is growing,कंहेरूडुवा रा जिऊ मोहि जाओ,इक फुल्ल उगदी जांदी
455,of illegal construction,हुंदे अवैध निर्माणे दा,अवैध निर्माण दे
456,Teaching at home tutoring brothers,ग्रुपां दे ग्रुप बठाहली,घरै-घरै पढ़ाणा ट्यूटोरिया भाऊ
457,And I don 't think this relationship is right because brother falls on mother and daughter and hal falls on mother.,"पर मेरिया समझा च एह रिस्ता ठीक नीं, कैंह भई, ""माऊ पर धीऽ कनैं हले पर सीऽ""",कने मिंजो नी लगदा एह रिस्ता ठीक है कैंह जे भाऊ माऊ कनै कुड़ी पर औंदा है कने हॉल माऊ पर औंदा है।
458,Narendra Arun,"बैरी चिरा ते माड़ियां, नज़री लगाई बैठ।",नरेन्द्र अरुण
459,I'm even more scattered!,अज तिनां सुपनेयां जो मैं,मैं भी होर बिखरी गई
460,Read - write is not,ओ दादिया क्या पढ़ेरना सैह अप्पू ही भतेरा है,पढ़ी-लखाई नीं होंदी
461,You have to do everything yourself.,"अग्नें भी तुसां ही करना सब किछ,",सब किच्छ तुसां अपणे आपे करना पौणा
462,The old man then began to tell the government that this Patwari had asked for a tree of berries from Prem Kumar.,बुड्डा भिरी दसणां लग्गा ....‘‘ सरकार ! गल्ल इयां है जे इन्नी पटुआरिये प्रेमुएं ते जम्मणी दा बूट्टा मंगेया।,{575} बुड्ढिया भिरी सरकारे जो गलाणा लग्गा- एह पटुआरियें प्रेमुएं ते इक्क अम्बरे दा रुक्ख मंग्गाया था।
463,"The boys first came out, then the women.",इस ही रस्तें सारेयां जाणा है,"सैह् अपणियां-अपणियां गल्लां सुणी करी गलाणा लग्गी, '''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''"
464,15. I'm not doing very well.,14.मेरा नाम जेक है। क्या तुम मुझ पर एहसान करोगे?,15.मैं एक अच्छा आदमी हूँ।
465,King Meghi Singh said I accept every condition of your life.,167.  राजें मेघी सिंघें गलाया जे मिंजो तुहाड़ी हर सर्त मणजूर है।,राजें मेघी सिंघें गलाया मैं तुहाड़ी जिंदगिए दी हर शर्त मन्नी लैंदा।
466,It's bigger than your mother.,कुदरता ने तू मत तलोएँ,एह तेरी अम्मां ते बड्डी ए।
467,The one above should be feared,एह खरा नी हुन्दा,उपरे ते डरना चाईंदा
468,"Looking at the plain of Sandu, we remember Mohana.",बच्चा गलाणा लग्गा बाबा असां गंगियां भी गांदे।,सिन्धुए दे सपाटे जो दिक्खी करी मोहनता दी याद औंदी
469,Hold out your hand to meet,काहलू पता नीं आई जाणा मौती,मिलणे वास्ते हत्थ मचाई लेया
470,So Joanda would have put a spark in it too.,पैंट थोडी ढील्ली थी टिरी चलदी थी,इस करी जोन्ढा भी तिस च मच्छर मारी दिंदा था
471,How does natural water flow brother,गाठी बांहीं संभ किछ एहं भगंदा ।,कुदरता दा पाणी कदेया बहेया भई
472,Suram says to the well-being that you are talking about customs,"जे बचारी सैह हुन्दी अज्ज,-तां मजाल इहतड़ी दूर फैका दियोंदा","तिन्नीं गलाया, ''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''"
473,Thus the children of Trishnu,किंहाँ-किहाँ आज भिखारी बणी गए,इस रीति त्रिसूर्णे दे बच्चे
474,Why do the cars differ?,हुणी चाहिंदी येक्क ई भाषा,कारां बिच्च कयो फर्क?
475,Tell me where Nadun Ray is sitting on the right side of the diameter.,लाटां वाली माता रानी होर कुती भौण वे,"एह तां गल्ल ऐ-मैं तां गलाया, अच्छा, मैं गलाया, अच्छा, मैं गलाया, अच्छा, मैं गलाया, तुसां कुथू जा?"
476,"With this, Lhana took off her coat and took off her jersey.",विलायत तैं मीमा-चुणीं-बणीं-मैं भेज्जा करदियां गुरू दा भला करन,लहणा बोलदेयां-बजट उतारी करी जर्सी उतारी
477,If you live beautifully,मिलणे जो हत्था बधाई रखिए.,जिन्दड़ी देया नीं
478,The News Plus channel had already announced this.,न्यूज़ प्लस चैनलें  पैहले ही इसा गल्ला दा स्क़  ज़ाहर कित्त्या था,न्यूज़ प्लस चैनले पहलें ही इस दा ऐलान करी दित्ता था।
479,"And the master of the house said to him, All right, I will do as you say.",पिंगलक ने उसदी कथा सुनी के उसने गलाया कि तू बिना डरे तेमेरे पासे ते हिफाजत इस वणे घुम्मा कर।,"घरै-घरै पुच्छेया,  ठीक है, तुसां क्या गला करगे, मैं तां करगा"
480,"If you're brave enough to join me, maybe something will happen"".",जे तुसां बे खौफ सारे मेरा साथ दिंहगे तां शाइद किच्छ बणी सकदा,जे तुसां हिम्मत करगे कि मेरे कने जुड़गे ता शायद कुछ होणा
481,"When Brahmans rose, there was no pumpkin.",कद्दू रूड़ी गया,ब्राह्मणें जाहलू उट्ठया तां कद्दू नीं था
482,6 Do you have a hobby of mining gardening? I consider music and TV my hobby. What is your favorite thing to plant?,6(क्या तुसां शौक ए मिनिग बागबानी ए मै संगीत कने टीबी जो मेरा शौक मनदा। रोबने तांई तुसां दी मन पसंदीदा चीज क्या ए?,क्या तुहां बागवानी खानी दा शौक है? मैं संगीत कने टी बी जो अपना शौक समझदा। लगणे वास्ते तुहां दी पसंदीदा चीज क्या है?
483,Table filled,फिरी कागज कठरोए,मेज भरी
484,"But you delayed too long, Rakhi.",(प्यारे नै) मेरी बच्ची !,पर तुसां बड़ी देर लगाई दित्ती राखी
485,I'll wear a bra,भंगड़े पा कदा पाई के लैहंगा,ब्रा पहनी लैंगा
486,788. I am an electrician.,787.यह समय पर होना बहुत कठिन है।,787.मैं एक डॉक्टर हूँ। मैं एक डॉक्टर हूँ।
487,"Man, there's no need to get stuck in here or there.",एह जुआंदड़ कनैं पढ़ाकू ग्लोंदे सुणी लेया - अरा! तू तां निरा डौंड ही रेही गेया,"अरा, इत्थु-उत्थू फसी जाणे दी कोई जरूरत नी"
488,Then the workers returned.,तालू मजदूर  पूजी गये,तालू मजूर वापस आई गये
489,I'm busy.,मैं बिजी हां।,मिंजो बिजी है।
490,"Son, we give you everything on time and we cry out with love when you have any trouble.",गुस्सा अपर कैंह्?दक्षैं गलाया।,पुत्तर असां तिज्जो सब किच्छ टैमे पर देई दिंदे हन कने जाहलू तुहांजो कोई मुसीबत पौंदी तां प्यार ने रोई के रोई पौन्दे हन।
491,Even the mothers of the 21st century do not love their daughters.,क्या स्हाडे़ साईं धियाँ बी घट्ट हुंदियाँ रैह्णियाँ?,इक्की सदी दियां मातां बी अपणीं-अपणीं मुंड्डियां ने प्यार नी करदियां
492,"Leave the cover up, it's the same.","अजे लेखा नी कि व्योंहदे सार ही भांडे, मुंह नंग गुआढ़े",परोहतेयां जो भी नीं मिलणा
493,"149. No need to ask, he already knows.",यए फायदे दा सौदा नी ए।।,148.मैं एक बार में एक बच्चे को जन्म देता हूं।
494,"Here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here.",लया चा लेया।,"एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथू, एथ"
495,She went a little farther and hid herself.,राजें तिसा बण-बक्करिया रे पिच्छे अपणां घोड़ा दुड़ाया,तिन्नीं अपणेयां-अपणेयां गल्लां सुणीयां
496,We couldn't find who stole it.,सैह बी सांजो नी मिलेया जाणे कुन्नी सैह चुराया था,असां जो नी पता लगया कि कुण चुराया है
497,But all of them,भेते जो ना जाणदी नां पछाणदी ऐ,पर तिन्हां सबनादे
498,To dream of such high things is to grieve ourselves and to have our customs from above differently.,"कुड़ी तां खरी ऐ- पहड़ीयो लिहक्खियो वी खरी संह देहया घर बी तां दिखणां पौंदा नां-"".",अपर अपणेयां-अपणेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां बड्डेयां ब
499,He refused to wake him for a while.,कया क्या नराले खेल करदी रैन्धी माता तू भी,सैह् तिसजो जागी ने थोड़ी देर नचाई दित्ती।
500,"She was just going to go down and follow Joande, thinking she was following her father-in-law.",तिसा बचारिया जो क्या पता था कि तिसा दे ग्रांए दा रस्ता ता पिच्छे रही गिया था,सैह ता जोन्ढे दे पास्सैं ही चली गई थी
501,His father was trembling.,परोहत पीठी बैठया सोचा दा था जे काह्लू शेरे मेरी खाल उतारणी ता काह्लू मिंजो खाणा,तिन्हां दा बापू झट-झट क्हट होई गिया था
502,The king said I am also a thief.,तूं कुण ऐं?”,राजें गलाया मैं भी चोर हां
503,This hotel is right across the street from City Centre Mall Mangalore.,एह होटल सिटी सैंटर मॉल दे सामणे ही है।,एह होटल सिटी सेंट्रे मॉल मंगलोरे ते ठीक सड़क पार है।
504,If the works are good,करम जे कर हुंगे ख़रे,जे कम्म खरे होंन तां
505,"If I win the lottery, I can go anywhere!",जे में लाटरी जितदा ए ता मै कूथी बी जाई सक दा।,जे मैं लॉटरी जित्दी तां मैं कुती बी जाई सकदी।
506,No one stops on their journey.,सफर कुसी दा नी रुकदा,तिन्हां दी सफ़र च कोई नी रुकी जांदा
507,He started telling his Ram story.,एथू आह मिंज्जो वाल्ह मै दस्सां तिज्जो भई मै कजो रोआ करदी,तिन्नी अपणी राम क्हाणी सुनाणा लग्गा
508,They are also earning their living.,पंज नूंह्-पुत्तर हन।,तिन्हां जो बी अपणा गुजारा करा दा ए।
509,"I was afraid, I was afraid, I was afraid.",पता नी कदी भ्याणी रात,"मैं ता डरी गई, डरी गई, डरी गई"
510,Indhu was moved by these words.,सिन्धुए रे तीनैं एहू गल्लां राप राराही सरकदीयां,सिन्धुए जो एह गल्लां सुणी करी बड़ा दिल लगया
511,The neighbors laughed at the news.,गबाहियां वी झूठी दो चार दित्तियां दुआई,सुणी करी सारे पड़ोसियां जो हस्सा आया।
512,You're a heavyweight.,बिलासपुर स्हाड़े दी एह् शान,तुसां भारी देया
513,"7 Do you take something for it? I do, but it's not working much and needs something else.","क्या तुहां इस तायें कुछ   लेंदे? मै करदा ए, पर एह कुसी बी ज्यादा कम नी करा दा कने होर कुछ दी जरूरत ए।",क्या तुसां इस ताईं कुछ लैन्दे? मैं करदा पर एह ज्यादा कम नी करा दा कने कुछ होर चाहिदा।
514,"The rest is only a display to men, and the heart is a lie.",जैहड़ी सेवा जिन्दियां री करी सकां करी लेआ,तिन्नीं अपणेयां-अपणेयां गल्लां सुणीयां
515,A man should never be guessing about his life or knowing what his death will be like.,आदमी जो कदी बी  अपणी  ज़िन्दगिए पर गुमान नी करणा चाहिदा न जाणे तिसदी  मौत कदई हो I,मनुक्खे जो कदी बी अपणे जीवन दी गल्लां नी करनी चाहिदी न ही पता होना चाहिदा कि तिसदी मृत्यु कदेई हुंगी।
516,Only the weak are exploited.,केवल कमजोरों दा दमन  हुन्दा!!,सिर्फ कमजोर ही शोषण करदे हन
517,"And if you look at what she is asking of her daughter-in-law, then there is no blame on men.","इसमी पाहें इहतड़ा दाज देई के वी सुख नीं, दूए पाहैं दाज्जे नीं देई के दुःख","तिन्नीं अपणे नूंह्-पुत्तरे जो क्या मंग्गी लैंणां तां दिक्खै, तां मर्दां पर कोई दोष नीं"
518,The pain is felt.,सीने च पीड़ां दबाई रखिए,एह् पीड़ सुज्झी जांदी।
519,Come to me,ए मेरिए साथणी नचयारे,मेरे पास्से औणा
520,But the unwell one was breathing deeply.,मन ता बड़ा करदा था तिसदा भी लोक्कां जो बसदे रसदे दिखी ने भई तिसदी भी इक छळ देही लाड़ी हुन्दी कनै अपणा घर बार हुन्दा,पर बीमार बड़ा गहन सांस लेया करदा था
521,The crocodile brought it across again.,रज्जी नैं मास खाधा कनैं मुड़ी आया,गिदड़ तिसजो फेरी पार कराया
522,This has already happened between the two.,ऐसा  जोड़ तोड़ा उना दोनां दे   बीच  शुरूच  ही  होई गया था,एह पहले ही दूंह दे बिच होया है।
523,She can take the lives of everyone with her.,"कने एह प्रण वी लेंन्नां, जे अहां एह रूआज मटाणां ऐं",तिसा जो अपणे कन्नै सबना दी जान लेई सकदी
524,"And the frog said, Why are ye blossoming? If a twelve-year-old tree drink it, it shall crumble in its belly; and when it shall bring it forth by long anguish, I will eat it with great joy.",{519}   सर्पे दिया गल्ला सुणी के मीनक गल़ाणा लग्गा..........तंू फणसोआ दा कजो? जे बाहरां सालां दा कांजी होऐ कनै तिसियो एह पीयै तां तेरे इसदे पेटे बिच डकरे होई जाणें कनै जाह्लू एह तिन्हां झाड़े ने बाहर नकाळगा तां मैं सैह बड़े मजे ने खाणें।‘‘,{575} फगुनें गलाया............... फुल्ल कजो देई दे हन्न ? जे कोई बारह सालां दा रुक्ख इसा जो पींणां तां तिसा दा पेट ही टुटी जाणा। जाह्लू सैह लम्मीयां पीड़यां ने इसा जो बाहर लाई औणा तां मैं बड़ी खुस्स होई के इसा जो खाई लैंगा।
525,It is not clear why Farida Jalal and Supriya Pilgaonkar made this film.,यामी गौतम जो बड़े कमज़ोर डायलॉग मिलेयो ताकि तिसा साह्मणे शाहिद कपूर बड्डा वकील लग्गे।,एह फ़िल्म कजो बनाई गई ?
526,The king rewarded him and placed him in his court.,” राजे दे नौकर गे कन्ने हारे जो लई आए,{575} राजें तिसियो इनाम दित्ता कनै अपणें दरबारैं जगह दित्ती।
527,"So far, only gold has been keeping us out of touch.","हुण तक तां स्वर्ण ही असां ते छ्होत रखदे,",अजे तक सिर्फ सोना साड़े कने न जुडने दी कोसस करा दा था।
528,This is a good move by Modi,मोदिए दा ख़रा कदम है एह,एह मोदी दा खरा कदम है
529,"If you have the will to seek, you can find even the unwise.",बध नीं लांदा,जे ढूँढने दी इच्छा हो तां बेबुझू भी मिलदी
530,You never ate fish,कदी खाईयो नी मच्छी तैं,तुसां कदी मच्छी नी खाई
531,There is nothing to say,असां दे पडोसी फिरिया ते कुलाटी करा दे हन ।,गलाणा कुछ नी
532,I don 't know what you 're gonna hear,"जे पता हुद्दा, तां निशु पुत्तर, तिज्जो कदी वी इन्हीं राक्षसां दे पिल्ले नी व्हंनदा",पता नी तुसां क्या सुणने जा दे
533,Look at the color of the day.,"फसै त लीम्बू-लीम्बू, नि तां रंगे च भंग 6 ॥","एह् गल्ल सुणी करी सैह् गलाणा लग्गी, अजकल कदी नीं, कदी नीं, कदी नीं, कदी नीं"
534,Something happened that Billy got sick and died.,तिना रा आपस च मत्ता प्यार था,कुछ होया कि बिली बीमार होई करी मरी गिया
535,The cattle fields are fertilised.,गोआ खेत्तरां च खादु दे कम्मैं औंदा।,गाई-बकरियां दा खेत खारा होई जांदा
536,The knife of a friend's laugh is like a curry 'thief' at college.,"बखरी क्यारी खुणी, यारी गाढ़ी ठगी गई ।",मित्र दी मुस्कला दी छुरी तां कालेज च करी 'चोर' साही
537,I never break my promises.,बतिया बुझाआ।।,मैं कदी अपणे वादे नी तोड़े हन।
