Hindi,English
एक एक पैसे का हिसाब रखता था।,One kept a penny.
टोबे के पास एक मन्दिर भी बनवाया जिसमें भगवान शिव तथा माता दुर्गा की मूर्तियां रखवाईं,"He also built a temple near Tobe, which houses statues of Lord Shiva and Mother Durga."
ब्याह-कारजों (शादी आदि आयोजनों) पर भी चाचा लोगों की सहायता करता था।,Uncle also assisted people in wedding functions (wedding etc.)
आज़ादी के बाद गांव को पानी के नल  मिले परन्तु इस टोबे कि अहमियत पर कोई फर्क नहीं पड़ा।,"After independence, the village received water tapes but the importance of this tobe did not change."
टोबे के कारण मन्दिर की और मन्दिर के कारण टोबे की अहमियत दिनोंदिन बढ़ती गई।,The importance of the tobe grew day by day because of the temple and the temple.
1950 के आसपास मद्दो चाचा का निधन हो गया।,Maddo uncle died around 1950.
लोगों ने मंदिर में चाचा की एक छोटी मूर्ति स्थापित कर दी और चाचा की पुण्यतिथि पर  हर वर्ष भंडारे का आयोजन शुरू कर दिया।,People set up a small statue of uncle in the temple and started holding a Bhandare every year on the anniversary of uncle's death.
चाचा का वह भंडारा आज भी मशहूर  है।,That uncle 's storehouse is still famous today.
मद्दो चाचा पचास साठ साल पहले मर खप चुका है पर आज भी जिंदा है,"The Maddow uncle died 50 and 60 years ago, but he's still alive today."
चमत्कार,miracle
सलोचना चाची बहुत कड़क मिजाज़ थी।,The critic was very angry.
"न किसी से मित्रता, न किसी के साथ बैठना उठना!","No friendship with anyone, no sitting with anyone!"
बहुत रूखा सा स्वभाव था उसका।,He was very shy.
गली मोहल्ले में सब छोटे बड़े उसे सल्लो चाची कहते थे।,"In the street neighbourhood, all the little ones and the big ones called her ""Salo Aunty""."
सल्लो चाची के मुकाबले रघु चाचा बहुत मीठे स्वभाव वाले मिलनसार हँसमुख व्यक्ति थे।,Raghua was a very sweet and friendly person compared to his aunt.
रघु चाचा कचहरियों में अर्ज़ीनवीस और प्रॉपर्टी डीलर का अच्छा खासा धन्धा करते थे।,Uncle Raghu used to work as an arsenic dealer and property dealer in garbage dumps.
काफ़ी बड़ा घर,A very large house
पाँच सात किराएदार हर वक़्त उनके मकान में रहते और एक बड़े कमरे में उनका दफ्तर भी था।,Five or seven tenants lived in their house at all times and they had an office in a large room.
"सुबह से लेकर रात नौ दस बजे तक पाँच सात आदमी बैठे रहते, कोई अर्ज़ी (प्रार्थना पत्र) लिखवाने के लिए तो कोई ज़मीन जायदाद के क्रय विक्रय के लिए।","From morning till nine - ten at night five - seven people sat down, one to write a petition and one to buy property."
रघु चाचा बहुत पैसा कमाते पर किसी आए गए को चाय पानी भी नहीं पूछते थे।,Uncle Raghu earned a lot of money but did not even ask for tea water from anyone who came.
"वह तो पूछे भी पर चाची चाय बनाए तो, वह बहुत कंजूस थी।","She asked, but her aunt made tea, and she was very shy."
चाय तो एक तरफ़ वह पानी तक नहीं पूछती थी।,"Tea, on the other hand, she didn 't even ask for water."
घरवाली के स्वभाव के कारण चाचा भीतर ही भीतर बहुत दुखी रहते पर अपना दुख कभी किसी के आगे नहीं (?) थे।,"Because of the nature of the wife, the uncle was very sad inside, but his sorrow was never before anyone."
चाचा चाची के सिवाय घर में उनकी इकलौती बेटी नर्वदा भी थी।,"Besides his aunt, his only daughter, Narvada, was also in the house."
शायद वह दसवीं ग्यारहवीं में पढ़ती थी।,She was probably in the tenth and eleventh grade.
आते जाते गली मोहल्ले में कभी उसे कहते बोलते नहीं देखा न सुना ।,"They went on their way, but they did not see him speaking or hear him."
न कभी उनके घर कोई रिश्तेदार आता देखा न उन्हें कहीं जाते देखा।,He never saw any relatives come to his house or go anywhere.
बहुत अजीब सा परिवार था।,It was a very strange family.
घर में चाचू ही एकमात्र व्यक्ति थे जो पूरे मोहल्ले में सम्मानित व्यक्ति थे पर वे भी अधिक दिन नहीं रहे।,Uncle was the only respected person in the whole neighborhood but he did not stay long.
एक दिन हार्ट अटैक।,"One day, he had a heart attack."
"कोठी का पिछला हिस्सा अपने पास था और बाहर की, सड़क की ओर सब किराएदार रहते थे।","The back of the cottage was with him and the outside, all the tenants lived on the side of the road."
परिवार वाला किराएदार कोई नहीं था।,There was no renter with family.
सभी निरे-अकेले (single) अधिकतर कॉलेज के लड़के थे ।,All single mostly college boys.
छोटे छोटे कमरे किराया पचास रुपये!,Small rooms rent fifty rupees!
"नहाना-धोना, पानी सड़क पर बहते कमेटी के नल पर!","Bathing, water flowing on the street on the committee tap!"
शौच जंगल नाले में।,In the sewage forest drain.
बिजली कोई नहीं।,No electricity.
दीया जलाकर गुजारा करो या फिर अपना मीटर लगवा लो।,Turn on the lights or put on your meter.
अपने लिए सब सुख अंदर,All the happiness inside for yourself
किराएदार जाएं भाड़ में,The tenants go fuck
किसी को कोई चिंता नहीं,No one cares
हर महीने की सात तारीख को अडवांस किराया लेने सल्लो चाची आ धमकती।,Aunt Sallow threatened to rent an advance on the seventh of every month.
बिना मतलब चाची किसी से कुछ नहीं बोलती चालती,Aunt doesn't talk to anyone without meaning.
किराया लेती या किराया बढ़ाती बार वह किसी की दुआ सलाम नहीं सुनती।,"When she takes a rent or increases the rent, she does not listen to anyone's greeting."
किसी किराएदार को दूसरी तरफ जाने की अनुमति नहीं थी।,No tenant was allowed to go to the other side.
ओए लड़के किराया ला!,"Oh, the boy hired!"
पाँच और ला!,Five more la!
चाची किराया लेने दरवाज़े के बाहर आ धमकी।,Aunt threatened to rent out the door.
पचास का नोट लेकर जब मैं बाहर आया तो बोली,I came out with a 50 bill and she said
हर महीने पाँच की बढ़ोतरी नहीं दे सकता,Can 't give an increase of five a month
"नहीं, न कर! दफ़ा हो जा यहाँ से","No, no, get the hell out of here."
किराया देता हूँ मुफ्त नहीं रहता,I rent not free.
दे सकता तो कमरा खाली कर!,"If you can, clear the room!"
नहीं करता खाली जा!,Do not empty!
जहाँ जाना है जा!,Go where you need to go!
कमरा तो तेरा बाप भी खाली करेगा।,Your father will empty the room.
क्या,what
सल्लो चाची शेरनी की तरह दहाड़ी और बुड़-बुड़ करती हुई चली गई।,"Saloon went about her, barking and barking like a lion."
सभी किराएदार बाहर आ गए।,All the tenants came out.
उनके पूछने पर मैंने सारी बात बताई।,"When I asked them, I told them everything."
सुनकर कुछ नहीं बोले,They didn't say anything.
सब अपने अपने कमरे के अंदर हो गए बोलते भी,They all went into their rooms and talked.
पर अगर बोलते तो उन्हें भी कमरे खाली करने पड़ते।,"But if they did, they would have to empty the room."
सल्लो चाची से मेरा झगड़ा शुरू हो गया,I started fighting with my little aunt.
न अब उसने चैन से रहना न मुझे रहने देना।,He will not be at peace anymore nor will he let me go.
अब हम दोनों की (यह) इज़्ज़त की लड़ाई बन गई।,Now it's a battle of honor between us.
महीने के बाद उसने मुझसे किराया नहीं मांगा न ही मैंने दिया।,"After a month, he did not ask me for rent, nor did I pay."
तीन चार महीने ऐसे ही निकल गए।,Three or four months went by.
"दूसरे किराएदारों से कहती, इसे कहो इंसानों की तरह किराया दे दे या कमरा खाली कर दे।","She tells other tenants, ""Tell him to rent like a human or to empty the room""."
"आसपड़ोस (के लोग) भी बोलने लगे, इससे झगड़ा मत कर यह बहुत बिगड़ैल औरत है","The neighbors said, ""Do not argue with her. She is a perverse woman""."
इसका किराया हर महीने दे दिया कर।,It is rented every month.
यदि अधिक मांग रही है तो पिछला (किराया) चुकता करके और कहीं ले ले ।,"If you want more , pay the previous rent and take it elsewhere ."
मुझे लगा कि यह डॉक्टर भी सल्लो की तरफदारी कर रहा है।,I thought this doctor was also advocating for Sallow.
इतनी जल्दी भला कहीं कमरा मिलता है फिर भी मैंने कमरा ढूंढने के लिए दिनरात एक कर दिया।,"I find a room so quickly, yet I worked day and night to find it."
"एक दिन कोई छः बजे के करीब मैं दरवाज़ा खोल कर अंदर गया तो बाहर आ खड़ी हो गई, बोली, बाहर निकल।","One day, about six o'clock, I opened the door and went in, and she came out, and said, ""Go out""."
"मैंने दरवाज़े की दहलीज पर खड़े होकर कहा, हाँ बोल क्या है?","I stood at the doorstep and said, ""What's a yes?"
"सल्लो भी गुस्से में बोली, एकाध दिन में पचपन के हिसाब से किराया दे और कमरे का प्रबंध कर नहीं तो सारा सामान सड़क पर पटकूंगी।","Sallow also said in anger, 'If you don 't pay the rent for fifty in a day and a half and manage the room, I will throw all the stuff on the street."
समझा,understood
हाँ समझा!,"Yes, I understand!"
अंदर घुसकर सामान को हाथ लगाकर दिखा।,Enter and show the goods.
अगर लात बाजू न तोड़ दीं तो मेरा नाम भी सुरेंद्र नहीं।,"If I don 't break the side of the stick, my name is not Surendra."
पचास के हिसाब से किराया लेना है तो अभी ले  नहीं तो चलती बन।,"If you have to rent at fifty, then you can move."
"वह जाती जाती धमकी दे गई, बोली, पुलिस के बिना तेरा भी दिमाग ठिकाने नहीं आएगा।","She threatened to leave, saying, ""You won 't even get your head around without the police""."
उस वक़्त हम दोनों के अलावा तीसरा कोई नहीं था गवाही देने वाला  ।,There was no one else to testify except us.
मन कर रहा था कि दो चार टिका दूँ।,I was thinking of giving two four ticks.
मुझे गुस्से में देखकर बुड़बुड़ करती हुई चली गई।,She saw me angry and went away whimpering.
मैं खुद भी डर गया ।,I was scared myself.
सोचने लगा इसने अब पता नहीं क्या करना है ।,He started to think he didn 't know what to do anymore.
मैंने ताला मारा बाज़ार घूम फिर कर होटल,I locked the market and went to the hotel.
दस बजे हौले से ताला खोला,"At ten o 'clock, the lock was opened."
सुबह उठ कर बिना खाना बनाए दफ़्तर चला गया।,He got up in the morning and left the office without having cooked.
बाहर ही खाना खाया काम किया।,I worked out.
"शाम को साढ़े पाँच बजे जब क्वार्टर पहुँचा तो डॉक्टर वासुदेव ,","At 5:30 pm, when the quarter arrived, Dr. Wasudev,"
दो चार मोहल्ले के और मेरे क्वार्टर के सामने खड़े होकर,Two or four blocks and standing in front of my quarters
"एक आदमी बोला, तू ही सुरेन्द्र कुमार है?","One man said, ""Are you Surendra Kumar?"
जी हाँ मेरा नाम ही सुरेंद्र कुमार है।,"Yes, my name is Surendra Kumar."
चल फिर थाने चल,Let 's go back to the station
मैं समझ गया कि यह कोई पुलिस का आदमी है,I realized it was a cop man.
मैंने कहा- ठीक है जी चलिए।,"I said, ""Well, let's go."
हम दोनों जन थाने चले गए।,We both went to the police station.
जैसे ही मैं थाने पहुँचा तो सल्लो चाची पहले ही पालथी मार कर बैंच पर बैठी थी,"As soon as I arrived at the station, Sallow's aunt was already sitting on the bench, waving."
कोई तीन चार मिनट बाद डॉक्टर वासुदेव और मोहल्ले के पाँच सात बुज़ुर्ग भी आ गए।,"About three or four minutes later, Dr. Wasudev and five or seven elders of the neighborhood arrived."
मैंने समझा ये सल्लो के हिमायती होंगे,I figured they'd be Sallow's supporters.
अब मेरा क्या बनेगा,What will become of me now?
मेरे दफ़्तर में कोई आदमी नहीं न ही किसी को पता,"No man in my office, no one knows."
लग रहा आज रात हवालात में ही कटेगी,I think tonight will be a very short one.
थोड़ी देर बाद डॉक्टर वासुदेव अंदर गए।,"After a while, Dr. Wasudev entered."
पता नहीं किस के साथ क्या बातचीत हुई।,I don 't know who I spoke to.
मुझे और सल्लो चाची को अंदर बुलाया,Sallow invited me and my aunt inside.
जब हम अंदर गए तो डॉक्टर और थानेदार चाय पी रहे थे।,"When we entered, the doctor and the police were drinking tea."
असली बात क्या है,What is real
"थानेदार ने सलोचना से पूछा, यह प्रार्थना पत्र तू ने दिया है?","The police chief asked the critic, ""Did you give this prayer letter?"""
जी हाँ।,"Yes, I did."
दी है जी,has
यह लड़का न तो किराया देता है न कमरा खाली करता है,This boy neither pays the rent nor empties the room.
और मेरी बेटी को छेड़ता है,And fucks my daughter.
"थानेदार ने कहा, बस! कुछ और?","The police officer said, ""Just! Anything else?"""
नहीं जी,"No, not"
किराया देती बार ही इस से हमारी दुआ सलाम होती है।,"When we rent it, our prayers are greeted."
चाहे आप किसी भी किराएदार से पूछ लीजिए सर।,"Ask any tenant you want, sir."
चारपाई जितना कमरा न पानी न बिजली न सात सालों में कोई रंग रोगन ।,"No water , no electricity , no color in seven years ."
नहाना धोना  पानी सब सड़क पर लगे कमेटी के नल पर।,Washing water is all on the street on the tap of the committee.
अंदर बाहर जंगल नाले में।,In the forest drain.
ऊपर से हर साल पाँच रुपये किराया बढ़ोतरी।,Rental increase of Rs. 5 per annum from above.
न दें तो कमरा खाली करने की धमकी।,"If not, threaten to empty the room."
सौ रुपया वेतन।,A hundred rupees salary.
कैसे गुजारा करना।,How to get through.
क्या खाना क्या घर में देना।,What to eat or what to give at home.
आज लड़की को छेड़ने का नया आरोप लग गया।,"Today, a new charge of molestation was brought against the girl."
सर इनकी लड़की को बुलाइए और पूछिए कि कभी उससे किसी किराएदार ने बात भी की?,"Sir, call his daughter and ask if any tenants have ever spoken to her."
हाँ मैडम तू बोल क्या चाहती है,"Yes, ma'am, what do you want to say?"
राजीनामा करना है या मुकद्दमा दर्ज करना है,Resign or file a lawsuit
अगर मुकद्दमा करना है तो दो गवाहियां ले आ,"If you want to prosecute, bring two witnesses."
और सुरिन्द्र तू भी अपना एक ज़मानती ले आ,"And Surendra, bring your pledge."
"सल्लो घबराहट में बोली, महाराज जो आप ठीक समझते हैं कर दीजिए।","Salo said in panic, ""Major, do what you think is right""."
"डॉक्टर वासुदेव जी बोले, थानेदार साहब!","Dr. Wasudheva said, ""Shipmaster!"
छोड़ो परे!,Get out of here!
आपसी समझौता करवाइए और घर भेजिए।,Make a mutual agreement and send them home.
"थानेदार ने सल्लो चाची  को कहा,","The police officer said to Sallow 's aunt,"
"बीबी तू अपनी अर्ज़ी वापस ले और किरायेदारों को ज्यादा तंग नहीं करना, समझी?","B. You take your application back and don't bother the tenants too much, okay?"
जी महाराज आप ठीक कह रहे हैं।,"Your Majesty, you are correct."
और सुन  किराये के लिए अपनी बेटी को बदनाम नहीं करना।,"And listen, don't defame your daughter for rent."
तूने कल को उसकी शादी भी करनी है।,You must marry her tomorrow.
"थानेदार ने मुंशी को आवाज़ लगाई, कहा, राजीनामा बना कर इनके हस्ताक्षर ले और बाहर भेज।","The police chief called out to Mushi, saying, ""Resign and sign them and send them out""."
थानेदार साहब ने डॉक्टर वासुदेव का धन्यवाद किया।,The chief thanked Dr. Wasudev.
सब अपने अपने (रास्ते) चल दिए।,And they went every one to his own way.
मैं भी इस शोरगुल में रहना नहीं चाहता था।,I didn 't want to live in this noise either.
मैंने भी और कमरा लेकर पिछला सब किराया समझौते के अनुसार चुकता किया और मकान छोड़कर चला गया,I also took more room and paid all the rent as agreed and left the house.
समय बीतता गया।,Time passed.
"कभी कभार डॉक्टर वासुदेव या उनकी घरवाली बाज़ार में आते जाते मिल जाते तो दुआ सलाम हो जाती, नहीं तो उनकी तरफ आना जाना नहीं रहा।","Sometimes when Dr. Vasudev or his wife came to the market, they would have said hello or they would have stopped coming."
एक दिन सुबह लगभग सात बजे सल्लो चाची का किराएदार कॉलेज का विद्यार्थी प्रवेश आया और एक पत्र दे गया।,"One day at about seven in the morning, a student of Sallow 's aunt's tenant came in and gave a letter."
"लिखा था, मेरे जीवन की एकमात्र सहारा मेरी माँ का निधन हो गया है।","It read, ""My only reliance in life is my mother's death."
मैं बेसहारा हो गई हूँ।,I'm helpless.
नर्वदा।,Narvaada.
सल्लो चाची के अंतिम संस्कार करके चला आया ।,Sallow left for his aunt 's funeral.
अगले 12 -13 दिन बैठकर चला आता।,He would sit for the next 12 - 13 days.
वह भी,he too
अगले 12-13 दिन मैं रोज़ नर्वदा के घर जाता।,"For the next 12 - 13 days, I went to Narvada 's house every day."
थोड़ी ही देर चला आता।,It takes a while.
वह भी एकाध मिनट मेरे पास आ बैठती फिर अंदर चली जाती।,She would also come and sit down for a minute and then walk in.
अम्मा के दुख में भी नर्वदा बहुत प्यारी सुंदर लगी।,"Even in the grief of her mother, Narvada was very beautiful."
"बड़ी बड़ी आँखें, लम्बी पतली नाक, घुंघराले काले बाल, पतली कमर, गुलाबी फूलों की तरह  कोमल सुंदर चेहरा मेरे मन  में ऐसा बैठा कि निकलने का नाम न ले।","Large eyes, long thin nose, curly black hair, thin waist, a tender, beautiful face like pink flowers sat in my mind so that it did not take a name for the exit."
मैं सल्लो चाची का व्यवहार तो भूल गया पर मन में घर कर गया नर्वदा का वजूद न भूल सका।,I forgot the attitude of Sallow Aunty but I went home and could not forget the existence of Narvada.
मिलने और देखने की चाह दिन प्रतिदिन बढ़ती चली गई।,The desire to meet and see grew day by day.
"तेरहवें दिन मुझे अंदर बुला कर नर्वदा हाथ जोड़ कर बोलने लगी, सुरेंद्र जी मेरी माँ ने आपके साथ जो व्यवहार आपके साथ किया था।","On the 13th day, Narvada called me in and started to say, Surendra Ji, the manner in which my mother treated you."
मैं उसके लिए आपसे माफ़ी मांगती हूँ।,I apologize for that.
मेरी अम्मा (माँ) दिल से बुरी नहीं थी।,My mother was not a bad person.
उसका स्वभाव ही ऐसा था।,That was his nature.
वह कहते कहते रो पड़ी।,She cried.
रोते रोते उसने फिर से माफ़ी मांगी।,"With tears in her eyes, she apologized again."
नर्वदा के आँसू देखकर मुझसे रहा नहीं गया।,I couldn 't help but see Narvada 's tears.
मैंने उसे अपनी बाहों में समेट लिया,I held her in my arms.
उसको ढांढस बंधा कर (मैं) बाहर आ गया,"I came out, bound him with a shield."
यह पहला मौका था कि मैंने नर्वदा को आँख उठा कर नज़दीक से देखा और उसका दुःखदर्द महसूस किया।,This was the first time I looked up at Narvada and felt his pain.
मेरे मन में उसके लिए हमदर्दी और श्रद्धा पैदा हो गई।,My heart was filled with compassion and reverence for him.
हनुमान जयंती के दिन मैंने सुबह ही नहा धो कर बस पकड़ी और सात किलोमीटर दूर हनुमान मंदिर चला गया।,"On the day of Hanuman Jayanti, I took the bus and washed my hands in the morning and went to Hanuman Temple seven kilometers away."
माथा टेका हनुमान चालीसा के 7 पाठ पढ़े फिर माथा टेका और बस पकड़ने के लिए बाहर आ गया,Matha Tekha read the seven lessons of Hanuman Chalisa then he bowed his head and went out to catch the bus.
आपसे एक ज़रूरी बात करनी थी।,I had something important to tell you.
मैंने कहा बोलिए जी,"I said, ""Say yes""."
यहाँ नहीं कभी टाइम निकाल कर घर आइए।,Never take time out here and come home.
मैंने कहा ठीक है किसी दिन ज़रूर आऊँगा।,"I said, ""Well, I'll come back someday""."
"वह फिर बोली, माँ के जाने के बाद आप आए ही नहीं, क्या बात है","She said, ""What's the matter, you didn't come back after your mother left?"
बाकी भी नाराज़गी दूर नहीं हुई क्या?,Didn't the anger go away?
मैंने कहा ऐसी कोई बात नहीं मैं तो लगातार हर दिन आता रहा।,I said no such thing I kept coming every day.
उस के बाद क्यों नहीं आए,Why didn't you come after that?
बस टाइम ही नहीं लगा।,It just didn't take long.
तकरीबन एक साल बीत गया आपको टाइम ही नहीं मिला,"It's been almost a year, you haven't had time."
सॉरी नहीं आ सका आई एम वेरी सॉरी।,Sorry I couldn 't come. I 'm really sorry.
इतने में बस स्टैंड भी आ गया।,The bus stop came along.
हम बस से उतरे और अपने अपने (रास्ते) चल पड़े।,We got off the bus and went our own way.
"नर्वदा फिर बोली, ज़रूर आइएगा मैं इंतज़ार करती रहूँगी।","Narvada said again, ""He will come, I will wait."
ठीक है मैं ज़रूर आऊँगा।,"All right, I'll be right back."
वह चली गई।,She's gone.
मैं खड़ा होकर उसे देखता रहा।,I stood and watched him.
"मैं सोचने लगा, नर्वदा की बोलचाल,व्यवहार, हावभाव मुझे ऐसे लगे जैसे वह मेरी कोई ख़ास हो या मैं उसका कोई ख़ास।","I started to think, Narvada's speech, behavior, temperament made me feel like he was special to me or I was special to him."
दूसरे दिन मैं कार्यालय से छुट्टी करके सीधा डॉक्टर वासुदेव के घर गया।,The next day I left the office and went straight to Dr. Wasudev 's house.
उन्हें सारी बात बताई और यह भी पूछा कि क्या मैं नर्वदा से मिलने उसके घर जाऊँ या नहीं?,He told her everything and also asked if I should go to Narvada 's house or not.
"डॉक्टर साहब ने कहा, नर्वदा अकेली है बेसहारा है उसकी बात सुनने में कोई हर्ज नहीं।","Dr. Sahab said, Narvada is alone, helpless, there is no hesitation in listening to her."
मैं वहाँ से उठा और नर्वदा के घर जा पहुँचा।,I got up and went to Narvada 's house.
"नर्वदा तपाक से बोली, आपका बहुत बहुत धन्यवाद ।",Narvada said with a deep thank you.
मेरी बाजू पकड़ी और सोफे पर बड़े प्यार से बैठाया।,He grabbed my side and sat down on the couch with great affection.
दोनों जन ने साथ साथ चाय पी।,The two people drank tea together.
"नर्वदा बोली, पता है मैंने आपको क्यों बुलाया है?","Narvada said, Do you know why I called you?"
"मैंने कहा, नहीं।",I said no.
मैंने यह कहने के लिए बुलाया है कि आप अब यहीं उसी कमरे में आ जाइए।,I have called to tell you to come to the same room now.
एक छोड़िए दो कमरे ले लीजिए।,Leave one and take two rooms.
नहीं! मैं यहाँ नहीं रह सकता।,I can't stay here.
लोग कहेंगे चाची ठीक कहती थी यह लड़का नर्वदा को छेड़ता है।,People will say that the aunt said right. This boy is flirting with Narvada.
नर्वदा खिलखिला कर हंसी ।,Narvada laughed and laughed.
शायद नर्वदा पहली बार ऐसे खुलकर हंसी होगी।,Perhaps Narvada will laugh openly for the first time.
"नर्वदा बोली, सुरेंद्र जी मेरा यह फ़ैसला है कि मैं आपसे प्यार करती हूँ और आपसे ही शादी करूंगी।","Narvada said, 'Surendraji, I have decided that I love you and will marry you."
"अगर आपको मेरा यह प्रस्ताव स्वीकार नहीं है तो मैं सारी उम्र शादी नहीं करूंगी,","If you don't accept my offer, I won't be married for life."
अकेली रह कर मैं अकेली रह कर जीवन व्यतीत कर सकती हूँ।,I can live my life alone.
नर्वदा शादी करने का फ़ैसला भावनाओं में बहकर नहीं हो (सकता)।,Narvada 's decision to marry should not be based on emotions.
अपने घरवालों की सहमति बहुत आवश्यक है,The consent of your family is essential.
नर्वदा बोली- मेरा इस दुनिया में दूर पार के जो भी रिश्तेदार हैं,"Narvada said, ""My relatives are all over the world."
वे मेरी इस सम्पत्ति पर नज़र टिकाकर मुझसे प्यार  दिखाते हैं।,They show love to me by keeping an eye on my property.
मेरा किसी से कोई सम्बन्ध नहीं।,I have no connection with anyone.
मैं अपने जीवन अपने जीने का फ़ैसला ख़ुद कर रही हूँ।,I am deciding my life to live my life.
यह मेरा अंतिम फैसला है।,This is my final decision.
आप हाँ कीजिए न कीजिए!,You can't say yes!
मुझे कोई फ़र्क़ नहीं पड़ता।,I don't care what you say.
मैं सारा जीवन अकेले भी काट सकती हूँ।,I can spend my whole life alone.
नर्वदा आपके इस प्रश्न का मेरे पास अचानक कोई उत्तर नहीं।,"Narvada, I have no answer to your question."
अम्मा की सहमति के बिना मैं कोई फ़ैसला नहीं कर सकता।,I cannot make a decision without my mother 's consent.
मैं आपकी मजबूरी समझता हूँ पर अम्मा की हाँ के बिना मैं शादी कैसे कर सकता हूँ।,I understand your compulsion but how can I get married without Mum's yes.
सुरेंद्र जी ! मेरी कोई मजबूरी नहीं है।,"Surendra Ji, I have no compulsion."
मैं साधनहीन नहीं,I am not helpless.
मैं अनपढ़ भी नहीं हूँ।,I am not illiterate either.
"हाँ, माँ बाप, खानदान और बड़े बुजुर्गों की राय से ही जीवन के फैसले होने चाहिएं।","Yes, life decisions should be made on the advice of parents, relatives and elders."
मैं पूर्ण रूप से आपके साथ सहमत हूँ।,I completely agree with you.
मैं समझ रही हूँ कि आप अपनी शादी की बात स्वयं अम्मा से नहीं कर सकते।,I understand that you cannot talk about your marriage to your mother yourself.
आप अपनी भाभी से सारी बात कीजिए या फिर अम्मा को यहाँ ले आइए।,You can talk to your sister-in-law or bring your mom here.
मैं उनसे ख़ुद बात करूँगी।,I'll talk to them myself.
"जब अम्मा मान जाएगी, भाई भाभी भी मान जाएंगे।","When the mother is accepted, the brother will be accepted."
समस्या का हल ख़ुद बातचीत से ही हम आप कर सकते हैं।,We can solve the problem only by talking ourselves.
यह कोई  बड़ी समस्या नहीं है।,This is not a big problem.
नर्वदा की सारी बात सुनकर मैं डॉक्टर वासुदेव के पास गया।,"After hearing all about Narvada, I went to Dr. Wasudev."
"बातचीत उन्हें बताई वे बहुत हैरान हुए और खुश होकर (बोले) ,","And they told him the conversation, and they were astonished and rejoiced."
आई एम विद यू!,I'm with you!
बहुत अच्छी बात है!,That's great!
अम्मा ग्रामीण परिवेश में अवश्य रहती रही पर इतनी ज़्यादा कि हर स्थिति को मिनटों में भांप जाती और हल करके ही सांस लेती।,"The mother had to live in rural surroundings, but so much so that she would shake every situation in minutes and breathe."
अम्मा से डायरेक्ट बात करने की,To speak directly to Mom
इसलिए भाभी को एकएक बात बता दी।,So I told Bhavi one thing at a time.
हम दोनों ने अम्मा को मणिमहेश का पवित्र स्नान करवाने के बहाने शहर ले आए।,We both brought Mum to the city to have a holy bath of Mani Mahesh.
"अपने खाना खाया, दोनों सास बहू को नर्वदा के पास छोड़ कर दफ़्तर के लिए खिसक लिया।","After eating their meal, the two in - law left their daughter - in - law with Narvada and went to the office."
शाम पाँच बजे छुट्टी करके सीधे नर्वदा के घर चला गया।,"At five o 'clock in the evening, he left and went straight to Narvada 's house."
"वहाँ डॉक्टर साहब, उनकी घरवाली आपस में खूब गपशप कर रहे थे और  हंसी मजाक चल रहा था।","There, the doctor and his wife were chatting and laughing."
मुझे देखकर सब चुप हो गए।,They all stopped to see me.
"अम्मा बहुत सीरियस होकर कहने लगी, ओए छोकरे!","Mom was very serious and said, ""Oh boy!"
तुझे इन ऊटपटांग बातों के लिए यहाँ भेजा है?,You're sent here for these crazy things?
'मोया' कुछ तो शर्म कर!,'Maya' is something to be ashamed of!
अपना रिश्ता तू ख़ुद करने लग पड़ा है हम क्या मर गए हैं ?,You've got to make your own relationship. Are we dead?
अम्मा मुझे तेरी  कसम मैंने कभी किसी से बात नहीं की।,"I swear to you, I never spoke to anyone."
जो कुछ सुन रही हो यह सब कुछ इसका किया कराया है।,Everything you hear has made it happen.
"'मेरा बच्चा' करते हुए भाभी ने कहा, अम्मा जी यह ठीक कह रहा है।","'My child,' said Bhabhi, 'Mamma Ji is right."
"अम्मा बोली, चुप कर बड़ी आई ठीक कहने वाली।","Mom said, ""I'm a quiet old lady who says right""."
कल आई और आज दादी बन बैठी।,She came yesterday and today she became a grandmother.
"सुरेन्द्र अम्मा के पैर पकड़ कर कहने लगा, अम्मा सात आठ साल मैं इनके मकान में रहा, कभी किसी की तरफ़ आँख उठा कर नहीं देखा।","Surendra took hold of his feet and said, ""Mama, I have lived in their house for seven or eight years, never looking up at anyone."
"जो भी बातचीत हुई वह डॉक्टर साहब से पूछो, यह सब कुछ बताएंगे।",Ask the Doctor who has been interviewed and he will tell you everything.
मुझे तो अभी भी विश्वास नहीं है कि यह जो कुछ हो रहा सच है या कोई सपना है।,I still do not believe that what is happening is real or a dream.
"अम्मा बोली, बच्चा अब तुझे सपने ही आएंगे।","Mother said, ""The child will come to you in dreams."
"सब खिलखिला कर हंस पड़े, माहौल आनन्दमय हो गया।","Everyone laughed and laughed, and the atmosphere was joyful."
"अम्मा फिर बोली, चल कोई नहीं  अगर सब ठीक हो रहा है।","Mom said again, ""Come on, nobody if everything is going well""."
मेरी चिंता इस लड़की ने दूर कर दी।,This girl took my concern away.
डॉ. साहब बीच में बोल पड़े ।,Dr. Sahib spoke in the middle.
कहने लगे छोड़ो इन बातों को असली बात करो।,"They said, ""Stop talking about these things and talk about them real""."
कहा डॉक्टर साहब।,said Doctor.
जो कुछ आज तक हुआ सब आपके आशीर्वाद (से हुआ),Everything that has happened so far has been your blessing.
